comment_id,fashion_house,comment,processed_text,bert_sentiment,vader_sentiment,emoji_analysis,emotions,aspects,subjectivity,language_features
140,Schiaparelli,Maestro,maestro,"{'positive': 0.6971781253814697, 'negative': 0.30282190442085266}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.02091073803603649, 'disgust': 0.012519165873527527, 'fear': 0.08592668175697327, 'joy': 0.0487973727285862, 'neutral': 0.41869717836380005, 'sadness': 0.1004331037402153, 'surprise': 0.3127157986164093}",{},0.0,"{'emojis': 0, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
141,Schiaparelli,❤️‍, ❤,"{'positive': 0.6760619282722473, 'negative': 0.3239380717277527}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.041026487946510315, 'disgust': 0.04652230069041252, 'fear': 0.03398595005273819, 'joy': 0.013435118831694126, 'neutral': 0.8259836435317993, 'sadness': 0.026724085211753845, 'surprise': 0.012322457507252693}",{},0.0,"{'emojis': 1, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
142,Schiaparelli,The best DR is the BEST designer in the world,best dr allcaps best allcaps designer world,"{'positive': 0.6347172260284424, 'negative': 0.3652828335762024}","{'neg': 0.0, 'neu': 0.373, 'pos': 0.627, 'compound': 0.8555}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.008611696772277355, 'disgust': 0.0011977070244029164, 'fear': 0.001336133573204279, 'joy': 0.25819131731987, 'neutral': 0.4842195510864258, 'sadness': 0.05015174672007561, 'surprise': 0.19629187881946564}","{'design': {'score': np.float64(0.8788), 'count': 1, 'emoji_count': 0}}",0.3,"{'emojis': 0, 'words': 7, 'has_hashtags': False, 'has_mentions': False}"
143,Schiaparelli,Just so exquisite,exquisite,"{'positive': 0.6528427004814148, 'negative': 0.34715735912323}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.007214759476482868, 'disgust': 0.006043425761163235, 'fear': 0.003727447474375367, 'joy': 0.028878917917609215, 'neutral': 0.8308229446411133, 'sadness': 0.021438855677843094, 'surprise': 0.10187359899282455}",{},1.0,"{'emojis': 0, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
144,Schiaparelli,Favoloso,fabulous,"{'positive': 0.6697332859039307, 'negative': 0.3302667438983917}","{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.0351133719086647, 'disgust': 0.01091949176043272, 'fear': 0.013832788914442062, 'joy': 0.12678715586662292, 'neutral': 0.5750702023506165, 'sadness': 0.012887455523014069, 'surprise': 0.22538943588733673}",{},1.0,"{'emojis': 0, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
145,Schiaparelli,I love watching this whole process,love watching whole process,"{'positive': 0.6275536417961121, 'negative': 0.37244635820388794}","{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.005988926161080599, 'disgust': 0.0024171352852135897, 'fear': 0.0014656221028417349, 'joy': 0.8285683393478394, 'neutral': 0.07217234373092651, 'sadness': 0.06355906277894974, 'surprise': 0.025828605517745018}",{},0.5,"{'emojis': 0, 'words': 4, 'has_hashtags': False, 'has_mentions': False}"
146,Schiaparelli,❤️❤️❤️, ❤ ❤ ❤,"{'positive': 0.6730619668960571, 'negative': 0.32693806290626526}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 3, 'frequencies': {'❤': 3}}","{'anger': 0.019488997757434845, 'disgust': 0.014434167183935642, 'fear': 0.040564846247434616, 'joy': 0.03776215389370918, 'neutral': 0.8039821982383728, 'sadness': 0.07304932177066803, 'surprise': 0.010718310251832008}",{},0.0,"{'emojis': 3, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
12,Schiaparelli,Danielroseberry‘s couture collections are my Super Bowl,danielroseberry couture collection super bowl,"{'positive': 0.6240630149841309, 'negative': 0.375936895608902}","{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.5994}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.019270943477749825, 'disgust': 0.005311161745339632, 'fear': 0.003812807844951749, 'joy': 0.16603191196918488, 'neutral': 0.682746946811676, 'sadness': 0.018215732648968697, 'surprise': 0.10461046546697617}",{},0.6666666666666666,"{'emojis': 0, 'words': 5, 'has_hashtags': False, 'has_mentions': False}"
24,Schiaparelli,"As always, breathtaking 🔥😮‍💨",always breathtaking 🔥 😮 💨,"{'positive': 0.6637019515037537, 'negative': 0.33629804849624634}","{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}","{'sentiment': 0.3333333333333333, 'count': 3, 'frequencies': {'🔥': 1, '😮': 1, '💨': 1}}","{'anger': 0.01478451769798994, 'disgust': 0.003704191418364644, 'fear': 0.43020403385162354, 'joy': 0.37897349397341407, 'neutral': 0.06668653339147568, 'sadness': 0.00805214885622263, 'surprise': 0.051954906433820724}",{},1.0,"{'emojis': 3, 'words': 5, 'has_hashtags': False, 'has_mentions': False}"
69,Schiaparelli,Simple stunning ❤️,simple stunning ❤,"{'positive': 0.6696828007698059, 'negative': 0.3303172290325165}","{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.3818}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.015606680884957314, 'disgust': 0.0026399220805615187, 'fear': 0.02482541836798191, 'joy': 0.20272590219974518, 'neutral': 0.1704551875591278, 'sadness': 0.014695502817630768, 'surprise': 0.5690514445304871}","{'aesthetic': {'score': np.float64(0.1909), 'count': 1, 'emoji_count': 1}}",0.6785714285714286,"{'emojis': 1, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
70,Schiaparelli,Its so hard to pick a favorite because each one is a favorite ❤️,hard pick favorite one favorite ❤,"{'positive': 0.6471047401428223, 'negative': 0.3528952896595001}","{'neg': 0.149, 'neu': 0.213, 'pos': 0.638, 'compound': 0.6808}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.01711719110608101, 'disgust': 0.008425083011388779, 'fear': 0.003626013407483697, 'joy': 0.11432987451553345, 'neutral': 0.7948725819587708, 'sadness': 0.013789141550660133, 'surprise': 0.04784008115530014}",{},0.8472222222222222,"{'emojis': 1, 'words': 6, 'has_hashtags': False, 'has_mentions': False}"
71,Schiaparelli,All of them!!! The sage and gold horizontal dress ❤️❤️❤️❤️❤️❤️,repeated sage gold horizontal dress ❤ ❤ ❤ ❤ ❤ ❤,"{'positive': 0.6639713644981384, 'negative': 0.33602866530418396}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 6, 'frequencies': {'❤': 6}}","{'anger': 0.030782723799347878, 'disgust': 0.014719761908054352, 'fear': 0.08767931908369064, 'joy': 0.08717021346092224, 'neutral': 0.6933895349502563, 'sadness': 0.06291834264993668, 'surprise': 0.023340124636888504}",{},0.0,"{'emojis': 6, 'words': 11, 'has_hashtags': False, 'has_mentions': False}"
121,Schiaparelli,Everything is perfection!!! Art is life and Life is Art ❤️,everything perfection repeated art life life art ❤,"{'positive': 0.6431148052215576, 'negative': 0.35688525438308716}","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.02270311862230301, 'disgust': 0.008491757325828075, 'fear': 0.03578938916325569, 'joy': 0.37692323327064514, 'neutral': 0.43970733880996704, 'sadness': 0.03684414550662041, 'surprise': 0.07954098284244537}",{},0.0,"{'emojis': 1, 'words': 8, 'has_hashtags': False, 'has_mentions': False}"
122,Schiaparelli,Genuinely spectacular. Bravo to Daniel and the atelier ❤️,genuinely spectacular bravo daniel atelier ❤,"{'positive': 0.6689969897270203, 'negative': 0.33100298047065735}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.008647732436656952, 'disgust': 0.0008744964143261313, 'fear': 0.024363093078136444, 'joy': 0.8870593309402466, 'neutral': 0.019782476127147675, 'sadness': 0.0027470749337226152, 'surprise': 0.056525737047195435}",{},0.9,"{'emojis': 1, 'words': 6, 'has_hashtags': False, 'has_mentions': False}"
123,Schiaparelli,Jadore,jadore,"{'positive': 0.6427140831947327, 'negative': 0.35728585720062256}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.010062442161142826, 'disgust': 0.0066263130865991116, 'fear': 0.0061747245490550995, 'joy': 0.028929756954312325, 'neutral': 0.731531023979187, 'sadness': 0.08277305215597153, 'surprise': 0.1339026391506195}",{},0.0,"{'emojis': 0, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
124,Schiaparelli,❤️❤️❤️, ❤ ❤ ❤,"{'positive': 0.6730619668960571, 'negative': 0.32693806290626526}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 3, 'frequencies': {'❤': 3}}","{'anger': 0.019488997757434845, 'disgust': 0.014434167183935642, 'fear': 0.040564846247434616, 'joy': 0.03776215389370918, 'neutral': 0.8039821982383728, 'sadness': 0.07304932177066803, 'surprise': 0.010718310251832008}",{},0.0,"{'emojis': 3, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
125,Schiaparelli,❤️❤️❤️, ❤ ❤ ❤,"{'positive': 0.6730619668960571, 'negative': 0.32693806290626526}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 3, 'frequencies': {'❤': 3}}","{'anger': 0.019488997757434845, 'disgust': 0.014434167183935642, 'fear': 0.040564846247434616, 'joy': 0.03776215389370918, 'neutral': 0.8039821982383728, 'sadness': 0.07304932177066803, 'surprise': 0.010718310251832008}",{},0.0,"{'emojis': 3, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
126,Schiaparelli,❤️‍❤️‍❤️‍, ❤ ❤ ❤,"{'positive': 0.6730619668960571, 'negative': 0.32693806290626526}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 3, 'frequencies': {'❤': 3}}","{'anger': 0.019488997757434845, 'disgust': 0.014434167183935642, 'fear': 0.040564846247434616, 'joy': 0.03776215389370918, 'neutral': 0.8039821982383728, 'sadness': 0.07304932177066803, 'surprise': 0.010718310251832008}",{},0.0,"{'emojis': 3, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
127,Schiaparelli,❤️❤️❤️, ❤ ❤ ❤,"{'positive': 0.6730619668960571, 'negative': 0.32693806290626526}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 3, 'frequencies': {'❤': 3}}","{'anger': 0.019488997757434845, 'disgust': 0.014434167183935642, 'fear': 0.040564846247434616, 'joy': 0.03776215389370918, 'neutral': 0.8039821982383728, 'sadness': 0.07304932177066803, 'surprise': 0.010718310251832008}",{},0.0,"{'emojis': 3, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
128,Schiaparelli,❤️❤️, ❤ ❤,"{'positive': 0.672674298286438, 'negative': 0.327325701713562}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 2, 'frequencies': {'❤': 2}}","{'anger': 0.017657147720456123, 'disgust': 0.016935501247644424, 'fear': 0.025739021599292755, 'joy': 0.027033165097236633, 'neutral': 0.8550262451171875, 'sadness': 0.04787116125226021, 'surprise': 0.009737742133438587}",{},0.0,"{'emojis': 2, 'words': 2, 'has_hashtags': False, 'has_mentions': False}"
129,Schiaparelli,"Show, @danielroseberry tem o DNA da @schiaparelli sempre à frente, inovando e surpreendendo a cada coleção",show user user allcaps dna allcaps always ahead innovating surprising collection,"{'positive': 0.6305774450302124, 'negative': 0.36942258477211}","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.002515793312340975, 'disgust': 0.0004330286174081266, 'fear': 0.002385845175012946, 'joy': 0.017041577026247978, 'neutral': 0.012953560799360275, 'sadness': 0.0024415645748376846, 'surprise': 0.9622285962104797}",{},0.5,"{'emojis': 0, 'words': 11, 'has_hashtags': False, 'has_mentions': True}"
130,Schiaparelli,"Daniel Roseberry is a genius, but am I the only one to notice that the skirt on the far left dress is eerily similar in concept to what Da’Vine Joy Randolph wore in October both at the @louisvuitton ‘s fashion show and on the red carpet?! Maybe it’s just me.",daniel roseberry genius one notice skirt far left dress eerily similar concept da vine joy randolph wore october user fashion show red carpet repeated maybe,"{'positive': 0.6587044596672058, 'negative': 0.3412954807281494}","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.5859}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.0037814893294125795, 'disgust': 0.0010538884671404958, 'fear': 0.0023986126761883497, 'joy': 0.6570121645927429, 'neutral': 0.10899962484836578, 'sadness': 0.012683449313044548, 'surprise': 0.21407073736190796}",{},0.31999999999999995,"{'emojis': 0, 'words': 25, 'has_hashtags': False, 'has_mentions': True}"
6,Schiaparelli,Outdid yourself 🧡🧡,outdid 🧡 🧡,"{'positive': 0.6611263751983643, 'negative': 0.3388736844062805}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 2, 'frequencies': {'🧡': 2}}","{'anger': 0.0755273625254631, 'disgust': 0.025497622787952423, 'fear': 0.042013440281152725, 'joy': 0.08010386675596237, 'neutral': 0.7038590312004089, 'sadness': 0.05568848177790642, 'surprise': 0.01731019839644432}",{},0.0,"{'emojis': 2, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
148,Chanel,C\est la belle Mademoiselle ✨,beautiful mademoiselle ✨,"{'positive': 0.6515349745750427, 'negative': 0.3484649658203125}","{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}","{'sentiment': 1.0, 'count': 1, 'frequencies': {'✨': 1}}","{'anger': 0.015599298290908337, 'disgust': 0.004022940527647734, 'fear': 0.0068624201230704784, 'joy': 0.8269752562046051, 'neutral': 0.282993882894516, 'sadness': 0.007969889789819717, 'surprise': 0.028601128607988358}",{},1.0,"{'emojis': 1, 'words': 3, 'has_hashtags': False, 'has_mentions': False}"
149,Chanel,❤️, ❤,"{'positive': 0.6760619282722473, 'negative': 0.3239380717277527}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.041026487946510315, 'disgust': 0.04652230069041252, 'fear': 0.03398595005273819, 'joy': 0.013435118831694126, 'neutral': 0.8259836435317993, 'sadness': 0.026724085211753845, 'surprise': 0.012322457507252693}",{},0.0,"{'emojis': 1, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
150,Chanel,Goyounjung❤️❤️❤️,goyounjung ❤ ❤ ❤,"{'positive': 0.6482880115509033, 'negative': 0.35171201825141907}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 3, 'frequencies': {'❤': 3}}","{'anger': 0.012867160141468048, 'disgust': 0.009179392829537392, 'fear': 0.06568968296051025, 'joy': 0.10793090611696243, 'neutral': 0.6651391983032227, 'sadness': 0.12368544191122055, 'surprise': 0.01550824474543333}",{},0.0,"{'emojis': 3, 'words': 4, 'has_hashtags': False, 'has_mentions': False}"
151,Chanel,Each one a work of art❤️,one work art ❤,"{'positive': 0.6672722101211548, 'negative': 0.3327277898788452}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.00892544724047184, 'disgust': 0.002176523208618164, 'fear': 0.00988816563040018, 'joy': 0.13473626971244812, 'neutral': 0.7265228629112244, 'sadness': 0.0455426424741745, 'surprise': 0.07220809906721115}",{},0.0,"{'emojis': 1, 'words': 4, 'has_hashtags': False, 'has_mentions': False}"
152,Chanel,❤️, ❤,"{'positive': 0.6760619282722473, 'negative': 0.3239380717277527}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.041026487946510315, 'disgust': 0.04652230069041252, 'fear': 0.03398595005273819, 'joy': 0.013435118831694126, 'neutral': 0.8259836435317993, 'sadness': 0.026724085211753845, 'surprise': 0.012322457507252693}",{},0.0,"{'emojis': 1, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
153,Chanel,Goyounjung,goyounjung,"{'positive': 0.6479548811912537, 'negative': 0.35204505920410156}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.043517570942640305, 'disgust': 0.05309480056166649, 'fear': 0.01881730556488037, 'joy': 0.08625076711177826, 'neutral': 0.6503791809082031, 'sadness': 0.06315942108631134, 'surprise': 0.08478093147277832}",{},0.0,"{'emojis': 0, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
154,Chanel,GYJ❤️,allcaps gyj allcaps ❤,"{'positive': 0.6282232999801636, 'negative': 0.3717767298221588}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.014477541670203209, 'disgust': 0.003529594512656331, 'fear': 0.039151452481746674, 'joy': 0.07947476953268051, 'neutral': 0.810582160949707, 'sadness': 0.03362855687737465, 'surprise': 0.01915588043630123}",{},0.0,"{'emojis': 1, 'words': 4, 'has_hashtags': False, 'has_mentions': False}"
155,Chanel,elegant,elegant,"{'positive': 0.6544436812400818, 'negative': 0.3455563187599182}","{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.09074372053146362, 'disgust': 0.5758486390113831, 'fear': 0.01845478266477585, 'joy': 0.012995834462344646, 'neutral': 0.26472386717796326, 'sadness': 0.026533260941505432, 'surprise': 0.010699952952563763}","{'aesthetic': {'score': np.float64(0.4767), 'count': 1, 'emoji_count': 0}}",1.0,"{'emojis': 0, 'words': 1, 'has_hashtags': False, 'has_mentions': False}"
156,Chanel,Creativity with love ❤️ ❤️,creativity love ❤ ❤,"{'positive': 0.6624444127082825, 'negative': 0.33755555748939514}","{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7783}","{'sentiment': 0.0, 'count': 2, 'frequencies': {'❤': 2}}","{'anger': 0.018285641446709633, 'disgust': 0.007861493155360222, 'fear': 0.012627438642084599, 'joy': 0.3681770861148834, 'neutral': 0.5116671919822693, 'sadness': 0.06689128279685974, 'surprise': 0.014489834196865559}",{},0.6,"{'emojis': 2, 'words': 4, 'has_hashtags': False, 'has_mentions': False}"
157,Chanel,Post about G-DRAGON,post g allcaps dragon allcaps,"{'positive': 0.6155261993408203, 'negative': 0.3844738304615021}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'sentiment': 0.0, 'count': 0, 'frequencies': {}}","{'anger': 0.006557759363204241, 'disgust': 0.001298029674217105, 'fear': 0.0011328187538310885, 'joy': 0.043028879910707474, 'neutral': 0.864967405796051, 'sadness': 0.026815878227353096, 'surprise': 0.056199222803115845}",{},0.0,"{'emojis': 0, 'words': 5, 'has_hashtags': False, 'has_mentions': False}"
158,Chanel,"Jungie @goyounjung and Chanel, just perfect combination ❤️",jungie user chanel perfect combination ❤,"{'positive': 0.6633555889129639, 'negative': 0.33664441108703613}","{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}","{'sentiment': 0.0, 'count': 1, 'frequencies': {'❤': 1}}","{'anger': 0.004611162468791008, 'disgust': 0.0016416668659076095, 'fear': 0.00698773842304945, 'joy': 0.662363588809967, 'neutral': 0.28206658363342285, 'sadness': 0.009579339064657688, 'surprise': 0.03274984285235405}",{},1.0,"{'emojis': 1, 'words': 6, 'has_hashtags': False, 'has_mentions': True}"
